,02-Sep-2026
The Nifty witnessed an intraday movement of about 127.65 points.The closing index was 0.59 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 115184.52
, Traded Quantity (in Lakhs), 49579.15
, Number of Trades, 38764448
, Total Market Capitalisation (Rs. Crores), 48624627.50

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty Multi MQ 50,     41801.60,     41602.00,     41604.25,     41207.80,     41484.85,-316.75
,Nifty500 Value 50,     15892.70,     15815.10,     15948.70,     15742.55,     15946.00,53.30
,Nifty Top 20 EW,      8880.50,      8801.60,      8830.75,      8767.80,      8830.75,-49.75
,Nifty CoreHousing,     15559.70,     15478.40,     15479.45,     15283.20,     15460.45,-99.25
,Nifty FinSerExBnk,     31930.55,     31695.35,     31817.35,     31411.45,     31814.50,-116.05
,Nifty Housing,     11768.00,     11689.40,     11749.75,     11631.30,     11749.75,-18.25
,Nifty IPO,      2381.55,      2377.50,      2385.85,      2362.30,      2383.05,1.50
,Nifty MS Fin Serv,     22551.10,     22436.25,     22466.50,     22222.20,     22466.45,-84.65
,Nifty MS Ind Cons,     18636.80,     18520.75,     18540.40,     18324.40,     18539.55,-97.25
,Nifty MS IT Telcm,     10274.30,     10209.45,     10227.60,     10080.70,     10200.60,-73.70
,Nifty NonCyc Cons,     15158.85,     15040.00,     15093.35,     14959.10,     15093.35,-65.50
,Nifty Rural,     15214.80,     15107.30,     15112.70,     14980.65,     15112.70,-102.10
,Nifty Shariah 25,      8009.45,      7957.05,      7959.00,      7878.85,      7932.85,-76.60
,Nifty Trans Logis,     26136.65,     25873.75,     25902.25,     25434.70,     25783.60,-353.05
,Nifty50 Shariah,      4287.75,      4252.30,      4256.85,      4220.10,      4253.40,-34.35
,Nifty500 LMS Eql,     18598.45,     18493.10,     18505.05,     18371.30,     18497.00,-101.45
,Nifty500 Shariah,      7033.70,      6987.75,      6988.75,      6931.00,      6971.85,-61.85
,Nifty500 Qlty50,     19740.85,     19619.40,     19633.65,     19430.85,     19624.80,-116.05
,Nifty500 LowVol50,     22158.80,     22023.20,     22095.65,     21937.90,     22094.30,-64.50
,Nifty500 MQVLv50,     30397.15,     30267.75,     30413.40,     30116.50,     30404.60,7.45
,Nifty500 Flexicap,     10082.65,     10010.20,     10012.15,      9897.15,      9944.95,-137.70
,Nifty TMMQ 50,     44650.60,     44409.50,     44424.35,     43966.65,     44316.95,-333.65
,Nifty FPI 150,      1562.40,      1550.35,      1555.65,      1542.60,      1555.65,-6.75
,Nifty SME Emerge,     14571.70,     14560.00,     14643.55,     14546.50,     14622.75,51.05
,Nifty Internet,      1458.40,      1447.90,      1453.70,      1433.30,      1452.95,-5.45
,Nifty Chemicals,     30069.20,     29940.35,     30067.65,     29656.95,     30052.40,-16.80
,Nifty Waves,      1876.55,      1871.20,      1872.20,      1847.10,      1850.00,-26.55
,Nifty InfraLog,     11915.90,     11844.65,     11898.75,     11749.50,     11897.05,-18.85
,Nifty500 Health,     21696.55,     21607.85,     21683.30,     21549.60,     21655.80,-40.75
,Nifty RailwaysPSU,      2769.95,      2756.60,      2762.35,      2731.15,      2749.30,-20.65
,NiftyConglomerate,     15179.30,     15062.65,     15143.20,     14964.65,     15142.35,-36.95
,Nifty MidSmall 50 50,     20966.85,     20873.05,     20873.40,     20704.35,     20843.75,-123.10
,Nifty Cement,     14587.60,     14551.25,     14551.30,     14339.90,     14521.25,-66.35
,Nifty Smallcap 500,     20952.95,     20871.50,     20877.15,     20723.90,     20831.40,-121.55
,Nifty REITs Realty,      1928.55,      1921.45,      1931.35,      1907.15,      1929.00,0.45
,India VIX,11.4925,11.4925,12.1125,10.5475,11.5925,0.1000

,ADVANCES,1479
,DECLINES,2233
,UNCHANGED,107

,Total securities that have hit their price bands today,259

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,IFCI,EQ,        87.26,        98.32,12.67,4103.91
,HDFCBANK,EQ,       711.90,       700.80,-1.56,2594.71
,BSE,EQ,      3242.00,      3168.00,-2.28,2070.38
,RELIANCE,EQ,      1309.00,      1313.10,0.31,1766.81
,COALINDIA,EQ,       401.60,       417.85,4.05,1423.74
,SBIN,EQ,      1034.50,      1020.90,-1.31,1415.57
,MILKYMIST,EQ,       232.03,       252.04,8.62,1399.51
,KALYANKJIL,EQ,       573.00,       590.00,2.97,1228.33
,ICICIBANK,EQ,      1438.00,      1426.50,-0.80,1214.65
,TBZ,EQ,       366.80,       418.25,14.03,1127.77
,ANTELOPUS,EQ,       792.65,       951.15,20.00,1122.33
,ATHERENERG,EQ,      1725.60,      1686.10,-2.29,1073.56
,INFY,EQ,      1156.00,      1140.00,-1.38,972.05
,HEROMOTOCO,EQ,      5555.00,      5300.00,-4.59,919.44
,M&M,EQ,      3259.00,      3190.00,-2.12,916.25
,TEMPSENS,EQ,       539.05,       566.30,5.06,902.58
,SYMBIOTEC,EQ,      1097.70,      1092.80,-0.45,896.19
,EICHERMOT,EQ,      7970.00,      7711.50,-3.24,852.16
,AXISBANK,EQ,      1258.00,      1253.90,-0.33,809.00
,MCX,EQ,      3303.00,      3286.00,-0.51,806.55
,MARUTI,EQ,     12950.00,     12849.00,-0.78,781.70
,BHARTIARTL,EQ,      1877.20,      1862.80,-0.77,769.64
,IDEA,EQ,        14.06,        14.53,3.34,759.68
,DHOOTTRANS,EQ,      1450.10,      1522.10,4.97,737.97
,HSCL,EQ,       680.85,       659.60,-3.12,735.74

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       417.85,       401.60,4.05
,ADANIPORTS,EQ,      1672.70,      1647.50,1.53
,ADANIENT,EQ,      2891.80,      2863.90,0.97
,BAJAJFINSV,EQ,      1990.00,      1972.00,0.91
,TMPV,EQ,       312.75,       310.00,0.89

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,      7711.50,      7970.00,-3.24
,WIPRO,EQ,       177.09,       181.70,-2.54
,M&M,EQ,      3190.00,      3259.00,-2.12
,BAJAJ-AUTO,EQ,     12130.00,     12361.00,-1.87
,ASIANPAINT,EQ,      2527.50,      2575.50,-1.86

,Securities Price Volume Data in Normal market
