MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,GANGABATH,GANGA BATH FITTINGS LTD,        21.80,        21.45,        21.45,        20.40,        20.60,                  1562100.00,75000, ,        27.50,        15.50
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,       580.00,       590.00,       597.95,       590.00,       590.00,                   886987.50,1500, ,       629.20,       306.65
N,SM,GENXAI,GENXAI ANALYTICS LIMITED,        85.05,        84.05,        84.05,        79.50,        81.90,                  8319120.00,102000, ,       103.35,        66.70
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,        78.80,        75.10,        75.10,        74.90,        74.90,                   955050.00,12750, ,       378.00,        52.30
N,ST,GLOBALPET,GLOBAL PET INDUSTRIES LTD,       155.00,       154.00,       154.00,       154.00,       154.00,                   115500.00,750, ,       164.75,        85.00
N,SM,GSTL,GLOBESECURE TECHNO LTD,        12.00,        12.00,        12.00,        11.40,        11.40,                    82400.00,7000, ,        37.65,         5.95
N,SM,GOLDKART,GOLDKART JEWELS LIMITED,        96.30,       100.00,       100.00,       100.00,       100.00,                   125000.00,1250, ,       285.00,        81.70
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         7.50,         7.50,         7.85,         7.50,         7.85,                   433687.50,56250, ,         9.95,         4.50
N,SM,GOYALSALT,GOYAL SALT LIMITED,       106.50,       105.00,       105.00,       104.00,       105.00,                   250800.00,2400, ,       200.00,        97.00
N,ST,GPECO,GP ECO SOLUTIONS INDIA L,       400.10,       400.00,       408.00,       395.00,       402.20,                  2810830.00,7000, ,       616.50,       264.05
N,ST,GCHOTELS,GRAND CONTINENT HOTELS L,        93.80,        95.00,        98.45,        92.00,        98.45,                  6825990.00,71400, ,       232.00,        76.50
N,SM,GRAPHISAD,GRAPHISADS LIMITED,        26.20,        25.50,        26.00,        25.50,        26.00,                    61800.00,2400, ,        52.80,        25.15
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        57.65,        60.00,        63.40,        58.80,        63.40,                  1579760.00,25600, ,        74.05,        40.40
N,ST,GREENLEAF,GREENLEAF ENVIROTECH LTD,       107.70,       109.90,       112.80,       109.00,       112.80,                   665950.00,6000, ,       185.90,        52.50
N,ST,GJL,GROVER JEWELLS LIMITED,       235.00,       244.90,       246.75,       235.00,       235.00,                  1368920.00,5600, ,       276.45,        91.40
N,SM,GSMFOILS,GSM FOILS LIMITED,       129.60,       134.00,       134.80,       123.15,       123.15,                 95704150.00,754500, ,       293.85,        79.70
N,SM,WHITEFORCE,HAPPY SQUARE OUTSOURC S L,        40.50,        40.50,        40.50,        40.50,        40.50,                   129600.00,3200, ,        92.20,        28.25
N,SM,HAPPY,HAPPY STEELS LIMITED,        86.65,        85.00,        85.00,        82.00,        82.85,                  3156700.00,38000, ,       104.40,        57.00
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       128.75,       126.05,       126.05,       123.55,       124.80,                  1099480.00,8800, ,       232.20,       101.20
N,ST,HOACFOODS,HOAC FOODS INDIA LIMITED,       914.00,       914.00,       950.00,       914.00,       923.70,                  4554450.00,4875, ,       950.00,       205.00
N,SM,HOLMARC,HOLMARC OPTO MECHATRO L,       105.00,       100.25,       107.00,       100.00,       107.00,                   541575.00,5250, ,       126.80,        60.05
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       111.30,       111.30,       111.30,       111.30,       111.30,                    33390.00,300, ,       279.75,       100.70
N,SM,HPTL,HP TELECOM INDIA LIMITED,       315.00,       330.75,       330.75,       312.00,       330.75,                 28804080.00,91800, ,       360.00,       186.00
N,SM,HRHNEXT,HRH NEXT SERVICES LIMITED,        23.50,        23.55,        24.65,        23.55,        24.65,                   146250.00,6000, ,        39.30,        21.00
N,SM,HVAX,HVAX TECHNOLOGIES LIMITED,       660.00,       660.00,       660.00,       660.00,       660.00,                    99000.00,150, ,      1007.00,       585.20
N,SM,IBLFL,IBL FINANCE LIMITED,        61.00,        58.00,        58.00,        58.00,        58.00,                  1160000.00,20000, ,        72.80,        43.95
N,SM,ICELCO,IC ELECTRICALS COMPANY L,       117.05,       116.55,       119.00,       114.00,       114.90,                 10332960.00,88800, ,       183.00,       113.50
N,SM,IDEALTECHO,IDEAL TECHNOPLAST IND LTD,       175.00,       170.00,       170.00,       170.00,       170.00,                    85000.00,500, ,       259.80,       150.50
N,SM,IDENTICAL,IDENTICAL BRAINS STUDIO L,        17.00,        16.65,        17.00,        16.55,        17.00,                   133500.00,8000, ,        43.60,        14.10
N,ST,IEML,INDIAN EMULSIFIERS LTD,        42.45,        40.70,        42.00,        40.35,        41.30,                  1138475.00,28000, ,       199.60,        37.80
N,SM,IPHL,INDIAN PHOSPHATE LIMITED,        76.40,        75.50,        75.50,        66.50,        69.80,                  5799300.00,81600, ,        84.25,        46.10
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       261.70,       255.00,       261.50,       255.00,       259.95,                  1168225.00,4500, ,       282.90,       189.40
N,SM,INFLUX,INFLUX HEALTHTECH LIMITED,       292.55,       282.00,       292.95,       275.30,       283.85,                  6597660.00,23400, ,       315.00,       160.60
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       159.50,       159.00,       159.00,       156.05,       156.25,                   377440.00,2400, ,       551.00,       151.00
G,ST,INNOMET,INNOMET ADVANCED MATERI L,       266.25,       271.55,       271.55,       271.55,       271.55,                  4073250.00,15000, ,       271.55,        63.15
N,ST,ITTL,INNOVATIVE TYRE & TUBE LT,        64.20,        64.20,        64.20,        64.20,        64.20,                     6741.00,105, ,       129.10,        64.20
N,ST,INTEGRITY,INTEGRITY INFRABUILD DE L,       175.00,       174.00,       174.00,       174.00,       174.00,                   208800.00,1200, ,       175.35,       100.05
N,SM,INVICTA,INVICTA DIAGNOSTIC LTD,        70.00,        69.95,        70.00,        68.55,        69.90,                   779040.00,11200, ,       105.00,        58.10
N,SM,ISHAN,ISHAN INTERNATIONAL LTD,         0.50,         0.50,         0.50,         0.50,         0.50,                    96000.00,192000, ,         0.95,         0.45
N,SM,ITALIANE,ITALIAN EDIBLES LIMITED,        33.15,        32.00,        32.00,        32.00,        32.00,                    64000.00,2000, ,        49.00,        24.05
N,ST,IWARE,IWARE SUPPLYCHAIN SER LTD,       440.25,       442.00,       449.95,       431.20,       440.25,                  2379840.00,5400, ,       539.40,       119.05
N,SM,JAINAM,JAINAM FER ALLOYS (I) LTD,       226.00,       224.90,       224.90,       224.90,       224.90,                   224900.00,1000, ,       315.00,       169.00
N,SM,JAINIK,JAINIK POWER CABLES LTD,       200.05,       201.00,       208.00,       201.00,       208.00,                   490800.00,2400, ,       221.00,       102.25
G,ST,JALAN,JALAN TRANSOLU. INDIA LTD,         1.85,         1.85,         1.85,         1.85,         1.85,                    11100.00,6000, ,         5.55,         1.50
N,SM,JAYBEE,JAY BEE LAMINATIONS LTD,        86.05,        86.05,        87.80,        86.05,        86.30,                   866650.00,10000, ,       232.00,        70.00
N,SM,KORE,JAY JALARAM TECHNO LTD,       111.80,       113.00,       122.95,       106.05,       114.05,                  6983637.50,60500, ,       212.30,        85.00
N,SM,JAYESH,JAYESH LOGISTICS LIMITED,       138.00,       132.50,       132.85,       132.40,       132.65,                   530550.00,4000, ,       200.00,       106.35
N,ST,JEYYAM,JEYYAM GLOBAL FOODS LTD,        22.65,        22.60,        23.40,        22.10,        22.30,                   981700.00,44000, ,        74.50,        21.60
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        10.55,        10.50,        10.50,        10.15,        10.15,                   430200.00,42000, ,        15.40,         8.55
N,SM,JIWANRAM,JIWANRAM SHEODUTTRA IND L,         4.50,         4.45,         4.45,         4.35,         4.35,                   158100.00,36000, ,         8.30,         4.35
N,ST,K2INFRA,K2 INFRAGEN LIMITED,        49.80,        49.80,        50.00,        48.25,        50.00,                   705450.00,14400, ,        82.80,        40.80
N,SM,KKJEWELS,KABRA JEWELS LIMITED,        98.00,        97.25,        97.25,        97.00,        97.10,                   194250.00,2000, ,       119.00,        72.10
N,SM,KALANA,KALANA ISPAT LIMITED,        21.30,        20.30,        20.30,        20.25,        20.25,                   202600.00,10000, ,        45.90,        15.10
N,SM,KANDARP,KANDARP DG SMART BPO LTD,        91.00,        85.05,        97.95,        85.05,        97.95,                   271900.00,3000, ,       169.00,        85.05
N,SM,KARNIKA,KARNIKA INDUSTRIES LTD,       116.85,       115.00,       118.00,       114.60,       114.60,                  1742200.00,15000, ,       224.95,        90.25
N,SM,KATARIA,KATARIA INDUSTRIES LTD,       105.05,       106.00,       109.90,       106.00,       108.35,                   842850.00,7800, ,       125.85,        85.50
N,SM,KLL,KAUSHALYA LOGISTICS LTD,        22.95,        22.95,        25.00,        22.95,        24.75,                   774400.00,32000, ,        75.40,        21.00
N,SM,KCEIL,KAY CEE ENERGY & INFRA L,        80.00,        80.00,        82.70,        80.00,        80.55,                   895425.00,11000, ,       294.00,        74.00
N,SM,KAYTEX,KAYTEX FABRICS LIMITED,        56.00,        56.00,        56.00,        56.00,        56.00,                    44800.00,800, ,       130.00,        50.35
N,ST,KCK,KCK INDUSTRIES LTD,        14.80,        15.00,        15.20,        14.30,        14.80,                  1425250.00,95000, ,        46.90,        11.60
N,SM,KEN,KEN ENTERPRISES LIMITED,        39.25,        38.00,        42.50,        37.70,        42.15,                   530400.00,13200, ,        54.85,        29.00
N,SM,KHFM,KHFM HOS FAC MANA SER LTD,        44.90,        42.55,        44.25,        42.10,        44.25,                   331622.50,7750, ,        86.70,        42.00
N,ST,KODYTECH,KODY TECHNOLAB LIMITED,      1502.00,      1502.00,      1550.00,      1495.00,      1542.65,                 29310730.00,19200, ,      1550.00,       556.05
N,ST,KONSTELEC,KONSTELEC ENGINEERS LTD,        65.20,        63.00,        64.00,        62.35,        62.35,                   379850.00,6000, ,        75.65,        28.00
N,SM,KDL,KORE DIGITAL LIMITED,        90.85,        89.50,        92.00,        88.00,        89.00,                  1753065.00,19500, ,       285.00,        84.05
N,SM,KRISHCA,KRISHCA STRAPPING SLTN L,       158.15,       160.50,       165.00,       159.60,       164.70,                  2752425.00,17000, ,       225.60,       138.00
N,SM,KRMAYURVED,KRM AYURVEDA LIMITED,       296.95,       300.00,       300.00,       285.05,       291.15,                 20087550.00,69000, ,       343.95,       156.15
N,SM,LAKSHYA,LAKSHYA POWERTECH LIMITED,        85.00,        84.90,        87.00,        82.00,        83.55,                  1015240.00,12000, ,       165.90,        73.15
N,ST,LAMOSAIC,LAMOSAIC INDIA LIMITED,        59.75,        57.10,        61.00,        57.05,        60.90,                  5625090.00,92400, ,        61.55,        20.45
N,SM,LRRPL,LEAD REC AND RUB PROD LTD,        87.00,        86.00,        87.00,        86.00,        86.35,                   777000.00,9000, ,        98.90,        59.15
N,SM,MVKAGRO,M.V.K. AGRO FOOD PROD LTD,       204.20,       214.40,       214.40,       214.40,       214.40,                 20775360.00,96900, ,       819.00,       152.05
N,SM,MACOBSTECH,MACOBS TECHNOLOGIES LTD,       199.95,       201.90,       201.90,       201.90,       201.90,                   161520.00,800, ,       249.00,       194.00
N,ST,MADHURKNIT,MADHUR KNIT CRAFTS LTD,        95.00,        90.25,        90.25,        90.25,        90.25,                   216600.00,2400, ,       100.00,        90.25
