MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,BRACE PORT LOGISTICS LTD,        54.75,        58.75,        58.80,        58.25,        58.80,                   374560.00,6400,N, ,4,        98.80,        42.90
N,BRAHMAPUTRA INFRA L,       157.41,       162.00,       167.99,       159.99,       164.96,                  7643385.37,46742,N, ,869,       184.00,       151.20
N,BRANDMAN RETAIL LIMITED,       183.00,       195.00,       195.00,       183.20,       184.95,                 15526720.00,82400,N, ,74,       243.80,       109.35
N,BRIGADE ENTER. LTD,       645.10,       639.70,       658.00,       622.60,       640.00,                163959242.50,258628,N, ,13658,      1069.35,       493.05
N,BRIGADE HOTEL VENTURE LTD,        58.32,        58.32,        59.39,        58.01,        58.42,                  4483461.88,76485,N, ,1471,        89.40,        54.36
N,BRIGHT BROTHERS LTD.,       260.00,       259.40,       259.40,       247.55,       258.25,                   305584.85,1199,N, ,40,       270.00,       210.00
N,BHARAT ROAD NETWORK LTD,        17.28,        17.44,        17.44,        17.00,        17.11,                   601873.05,35170,N, ,194,        26.50,        16.66
N,BSE LIMITED,      3242.00,      3222.60,      3265.00,      3131.50,      3168.00,              20703811346.10,6510791,N, ,321310,      4446.80,      2021.50
N,BOMBAY SUPER HYBRID SEEDS,        89.03,        89.03,        90.89,        89.03,        89.91,                   270975.23,3027,N, ,87,       149.00,        59.16
N,BSL LTD,       123.25,       122.89,       123.00,       121.05,       122.12,                   211985.71,1740,N, ,40,       208.00,        98.00
N,BIRLASOFT LIMITED,       295.80,       294.60,       299.45,       291.80,       294.40,                376349990.10,1273310,N, ,28875,       474.00,       270.20
N,BODHI TREE MULTIMEDIA LTD,         8.06,         8.13,         8.19,         7.90,         8.08,                  3638670.12,453815,N, ,329,        10.50,         5.06
N,SHANKARA BUILDPRO LIMITED,      1272.40,      1273.00,      1298.00,      1234.10,      1261.80,                164235719.10,129285,N, ,5610,      1380.00,       636.00
N,BURNPUR CEMENT LIMITED,        18.64,        19.57,        19.57,        18.05,        19.57,                  8981991.29,467871,N, ,1459,        21.39,        11.13
N,BTRFLY GANDHI APPL LTD,       624.35,       624.35,       624.35,       611.10,       614.25,                  7554027.75,12254,N, ,757,       823.85,       565.80
N,BARAK VALLEY CEM. LTD.,        43.50,        43.10,        43.77,        42.20,        42.93,                   270820.17,6239,N, ,89,        69.99,        31.20
N,C2C ADVANCED SYSTEMS LTD,       229.00,       225.60,       230.00,       219.00,       224.50,                 20351737.50,91200,N, ,463,       888.00,       204.50
N,CALIFORNIA SOFTWARE CO LT,        39.13,        40.49,        41.08,        40.11,        41.08,                 11551721.40,283152,N, ,710,        41.08,        10.90
N,CAMLIN FINE SCIENCES LTD,       102.14,       102.01,       103.30,       101.00,       102.80,                 39300831.43,384536,N, ,3801,       235.00,        96.21
N,CAMPUS ACTIVEWEAR LIMITED,       223.92,       223.50,       223.50,       220.10,       220.87,                 54980730.40,248414,N, ,7928,       297.00,       215.20
N,COMPUTER AGE MNGT SER LTD,       752.00,       751.00,       752.00,       730.55,       741.85,                937713833.20,1271642,N, ,38126,      4147.00,       611.40
N,CANARYS AUTOMATIONS LTD,        25.30,        24.90,        25.30,        24.90,        25.30,                   300800.00,12000,N, ,3,        35.20,        14.60
N,CAN FIN HOMES LTD,       793.40,       786.50,       798.00,       783.00,       795.30,                136181888.60,171636,N, ,12749,       971.50,       715.00
N,CANARA HSBC LIFE INS CO L,       154.18,       154.18,       154.99,       151.55,       152.81,                 48111952.56,315187,N, ,6104,       166.69,       106.00
N,CANTABIL RETAIL LTD,       241.92,       241.40,       241.58,       235.21,       236.60,                 23121458.63,96859,N, ,1616,       321.50,       208.50
N,CAPACITE INFRAPROJECT LTD,       208.64,       207.50,       209.94,       201.51,       205.02,                 96442717.49,471954,N, ,7021,       334.00,       180.00
N,CAPILLARY TECHNO INDIA L,       491.80,       491.80,       491.80,       482.00,       484.00,                 38566350.20,79393,N, ,2753,       798.95,       464.25
N,CAPITAL INFRA TRUST,        76.36,        76.49,        76.69,        76.20,        76.25,                  9281086.38,121461,N, ,1560,        79.99,        67.00
N,CAPITAL SMALL FIN BANK L,       284.40,       284.85,       284.90,       280.05,       283.25,                  3082532.65,10917,N, ,389,       323.70,       206.55
N,CAPLIN POINT LAB LTD.,      2711.20,      2710.00,      2735.80,      2650.00,      2720.50,               1007210751.00,373618,N, ,32337,      2750.00,      1500.30
N,CARBORUNDUM UNIVERSAL LTD,      1100.50,      1100.50,      1107.60,      1068.50,      1071.50,                158238867.20,146299,N, ,13118,      1306.90,       735.20
N,CARE RATINGS LIMITED,      1705.00,      1694.00,      1727.50,      1675.20,      1683.00,                173278557.40,101976,N, ,10795,      1838.00,      1392.70
N,CARRARO INDIA LIMITED,       542.25,       539.95,       559.00,       535.00,       542.00,                 48081183.05,88463,N, ,6957,       667.55,       411.00
N,CARTRADE TECH LIMITED,      2970.10,      2933.40,      2990.60,      2914.00,      2932.30,                462094612.00,157344,N, ,19278,      3290.50,      1600.00
N,CARYSIL LIMITED,      1118.00,      1102.60,      1147.80,      1102.60,      1139.20,                 49150447.60,43539,N, ,4305,      1280.90,       732.10
N,CASTROL INDIA LIMITED,       186.02,       185.40,       186.40,       184.20,       186.08,                159641253.90,858851,N, ,23055,       210.75,       170.10
N,AVENUESAI LIMITED,        15.31,        15.30,        15.91,        15.02,        15.50,                220080566.47,14217006,N, ,19841,        20.50,        12.92
N,CONS. CONST. CONSORT LTD,        14.45,        14.45,        14.49,        14.01,        14.31,                  1452755.31,102155,N, ,488,        28.87,        12.76
N,COUNTRY CLUB HOSP HOL LTD,        12.77,        12.90,        12.90,        12.22,        12.42,                   260572.72,20907,N, ,126,        19.50,        10.03
N,CCL PRODUCTS (I) LTD,      1100.10,      1096.60,      1106.60,      1074.50,      1086.10,                159081992.80,145991,N, ,17944,      1242.20,       815.50
N,CENTRAL DEPO SER (I) LTD,      1391.00,      1378.00,      1379.70,      1355.90,      1365.20,               1171265708.10,858052,N, ,35997,      1673.70,      1116.30
N,CEAT LIMITED,      3400.20,      3381.60,      3382.30,      3337.00,      3347.80,                157974262.10,47129,N, ,9552,      4438.00,      3061.20
N,CEIGALL INDIA LIMITED,       344.70,       342.90,       344.70,       338.90,       340.60,                 69294239.15,203190,N, ,3916,       405.70,       222.61
N,CEINSYS TECH LIMITED,       704.40,       698.00,       720.00,       694.95,       697.90,                 45022677.05,63889,N, ,3445,      1249.90,       694.95
N,CELEBRITY FASHIONS LTD,         6.74,         6.70,         6.90,         6.46,         6.75,                    67794.73,10192,N, ,119,        13.25,         5.65
N,CELLECOR GADGETS LIMITED,        31.40,        31.40,        33.00,        31.40,        32.90,                 10067100.00,309000,N, ,54,        43.85,        21.80
N,CELLO WORLD LIMITED,       349.40,       349.40,       349.40,       343.15,       347.60,                 69868176.50,201808,N, ,7502,       673.80,       336.60
N,CELL POINT (INDIA) LTD,        16.25,        16.20,        16.45,        16.00,        16.00,                    97860.00,6000,N, ,5,        21.10,        11.70
N,CEMINDIA PROJECTS LIMITED,      1244.10,      1244.00,      1244.10,      1213.40,      1235.80,                232424420.50,188580,N, ,13302,      1649.20,       503.30
N,CENTURY ENKA LTD,       544.10,       560.00,       624.80,       560.00,       602.35,               5726296749.95,9590323,N, ,189707,       671.65,       371.20
N,CENTURY EXTRUSIONS LTD,        22.28,        22.23,        22.91,        21.81,        22.49,                  4103741.60,184050,N, ,1082,        34.75,        15.67
N,CENTRAL BANK OF INDIA,        30.31,        30.19,        30.53,        29.89,        30.37,                206381716.20,6820964,N, ,21820,        40.92,        29.32
N,CENTRUM CAPITAL LIMITED,        22.33,        22.30,        23.10,        22.05,        22.90,                  4546564.45,201793,N, ,519,        38.50,        19.66
N,CENTUM ELECTRONICS LTD,      3420.10,      3467.70,      3595.00,      3437.20,      3555.30,                417014929.40,117868,N, ,20339,      3968.80,      2044.20
