TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-31,2026-08-31,CM,NSE,STK,3375,INE335A01020,SURYAROSNI,EQ,,,,,SURYA ROSHNI LTD,220.46,221.99,218.00,219.71,219.99,220.46,,219.71,,,217239,47670025.11,5511,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11852,INE713B01026,SURYALAXMI,EQ,,,,,SURYALAKSHMI COT MIL LTD,57.00,61.30,57.00,60.16,59.51,58.05,,60.05,,,13957,834081.48,169,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,762924,INE132C01027,SURYALA,EQ,,,,,SURYALATA SPINNING MILL L,378.50,378.50,376.15,378.00,378.00,378.60,,378.00,,,281,106221.15,8,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,2970,INE428Q01011,SURYODAY,EQ,,,,,SURYODAY SMALL FIN BK LTD,154.25,157.49,153.00,154.69,154.35,154.26,,154.69,,,391182,60660985.13,8327,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,13804,INE645H01027,SUTLEJTEX,BE,,,,,SUTLEJ TEXT & INDUS LTD,38.51,40.25,38.16,40.07,40.25,39.30,,40.07,,,19342,752920.51,108,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11233,INE495B01038,SUVEN,EQ,,,,,SUVEN LIFE SCIENCES LTD,365.50,395.00,363.15,392.05,392.00,364.95,,392.07,,,1703616,651439576.15,37032,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,2998,INE018401013,SUVIDHAA,EQ,,,,,SUVIDHAA INFOSERVE LTD,2.40,2.40,2.18,2.19,2.18,2.29,,2.19,,,164440,362527.25,294,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,24851,INE442P01014,SUYOG,EQ,,,,,SUYOG TELEMATICS LIMITED,745.30,753.65,732.90,740.75,732.90,745.30,,740.72,,,18146,13429549.60,991,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,12018,INE040H01021,SUZLON,EQ,,,,,SUZLON ENERGY LIMITED,46.79,47.52,45.92,47.52,47.52,46.79,,47.52,,,59911853,2787053394.05,106365,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,5020,INE308E01029,SVPGLOB,EQ,,,,,SVP GLOBAL TEXTILES LTD,3.75,3.86,3.60,3.62,3.61,3.73,,3.62,,,55484,207458.67,111,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,27095,INE665A01038,SWANCORP,EQ,,,,,SWAN CORP LIMITED,298.15,299.30,290.15,293.30,291.00,298.15,,293.30,,,755979,222762925.50,12533,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,29164,INE542F01020,SWANDEF,BE,,,,,SWAN DEFENCE N HEVY IND L,2455.10,2475.00,2401.00,2448.00,2449.00,2455.10,,2446.26,,,6341,15432403.00,543,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3384,INE277A01016,SWARAJENG,EQ,,,,,SWARAJ ENGINES LTD,3545.00,3624.90,3532.10,3569.30,3570.00,3544.80,,3569.80,,,16022,57448500.70,2983,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,764496,INE0GMR01016,SWARAJ,BE,,,,,SWARAJ SUITING LIMITED,366.40,373.95,360.10,363.50,360.10,366.40,,365.09,,,82415,30200397.10,329,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,765185,INE967A01012,SWARNSAR,EQ,,,,,SWARNSARITA JEWELS IND L,35.95,36.00,33.85,35.35,34.26,34.41,,35.29,,,18810,650156.14,37,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11497,INE0DGC01025,SWASTIK,ST,,,,,SWASTIK PIPE LIMITED,21.00,21.00,21.00,21.00,21.00,20.90,,21.00,,,2400,50400.00,2,F1,1200,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11909,INE409B01013,SWELECTES,EQ,,,,,SWELECT ENERGY SYS LTD,588.00,604.40,585.85,588.50,586.00,589.90,,588.56,,,16197,9639033.65,1425,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,27066,INE00H001014,SWIGGY,EQ,,,,,SWIGGY LIMITED,280.95,281.90,276.15,281.90,281.90,280.50,,281.90,,,16143985,4513312834.50,103694,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,765190,INE010C01025,SWISSMLTRY,EQ,,,,,SWISS MILITARY CON GOOD L,17.10,17.10,16.25,16.28,16.44,16.96,,16.29,,,98302,1624492.17,379,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,24267,INE01IH01015,SYLVANPLY,SM,,,,,SYLVAN PLYBOARD (INDIA) L,57.00,57.00,55.80,55.80,55.80,58.70,,55.80,,,4000,225600.00,2,F1,2000,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,24190,INE225D01027,SYMPHONY,EQ,,,,,SYMPHONY LIMITED,592.00,594.40,584.00,586.45,585.80,591.15,,586.45,,,50055,29417164.30,3340,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11992,INE312C01025,SYNCOMF,EQ,,,,,SYNCOM FORMU (I) LTD,19.58,19.95,19.16,19.49,19.50,19.46,,19.49,,,16267062,318745497.30,42798,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,5114,INE00QT01015,SGIL,EQ,,,,,SYNERGY GREEN IND. LTD,621.00,621.00,577.55,603.00,602.00,607.70,,603.11,,,5022,3029663.05,250,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,10243,INE398R01022,SYNGENE,EQ,,,,,SYNGENE INTERNATIONAL LTD,406.50,407.70,398.80,400.75,400.45,403.40,,400.76,,,493962,199027754.30,23253,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,17206,INE0BTR01012,SYNOPTICS,ST,,,,,SYNOPTICS TECHNOLOGIES L,55.05,55.05,54.75,54.75,54.75,57.60,,54.75,,,1800,98880.00,3,F1,600,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,10793,INE0DYJ01015,SYRMA,EQ,,,,,SYRMA SGS TECHNOLOGY LTD,1474.30,1474.30,1392.60,1437.00,1445.00,1474.30,,1437.01,,,1596920,2274649408.20,77943,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,14506,INE0O7R01011,SYSTANGO,SM,,,,,SYSTANGO TECHNOLOGIES LTD,236.95,236.95,222.30,223.15,224.70,233.90,,223.15,,,27600,6277960.00,66,F1,400,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,759358,INE356B01024,SYSTMTXC,BE,,,,,SYSTEMATIX CORP SERVICE L,58.78,58.78,57.15,57.90,57.90,57.12,,57.90,,,9344,542042.56,73,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,764955,INE284B01028,TGVSL,EQ,,,,,T G V SRAAC LTD.,105.24,106.02,103.24,104.40,104.06,105.24,,104.40,,,91107,9519876.21,952,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,14314,INE592B01024,TTL,EQ,,,,,T T LIMITED,6.50,6.88,6.49,6.64,6.70,6.66,,6.64,,,245577,1617266.33,306,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,762929,INE524T01011,TAALTECH,EQ,,,,,TAAL TECH LTD.,4592.00,4592.00,4495.00,4518.80,4520.00,4562.00,,4518.30,,,3895,17705315.90,497,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,23441,INE0SOY01013,TAC,ST,,,,,TAC INFOSEC LIMITED,426.45,426.45,413.20,416.65,416.50,423.20,,416.65,,,28000,11699280.00,104,F1,200,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3396,INE123C01018,TAINWALCHM,EQ,,,,,TAINWALA CHEMICAL AND PLA,215.70,215.70,209.00,209.94,209.15,213.00,,209.94,,,914,192237.08,37,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,9354,INE586B01026,TAJGVK,EQ,,,,,TAJ GVK HOTELS & RESORTS,341.10,341.10,334.00,335.65,334.55,340.00,,335.64,,,50366,16971981.20,2426,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,14917,INE142I01023,TAKE,EQ,,,,,TAKE LIMITED,15.34,15.34,15.34,15.34,15.34,16.14,,15.34,,,56992,874257.28,295,F1,1,,,,,
