MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,GOLDBND,BANDHANAMC - GOLDBND,       151.57,       148.54,       150.98,       148.00,       149.22,                   596244.14,3995,152,       180.16,       115.17,COMMODITY - GOLD
N,EQ,GOLDCASE,ZERODHAAMC - GOLDCASE,        23.86,        23.69,        23.69,        23.38,        23.51,                372049664.23,15798999,15047,        27.94,        16.40,ZERODHA GOLD ETF
N,EQ,GOLDETF,MIRAEAMC - MAGOLDETF,       147.58,       147.30,       147.30,       144.80,       145.52,                215990122.65,1483420,11284,       173.50,       101.51,MIRAE ASSET GOLD ETF
N,EQ,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,       129.73,       132.97,       132.97,       126.48,       127.84,               1127684093.11,8804998,38303,       158.00,        88.67,GOLD
N,EQ,GROWWCAPM,GROWWAMC - GROWWCAPM,        11.37,        11.40,        11.40,        11.19,        11.20,                  6288519.22,559055,988,        12.66,         8.02,NIFTY CAPITAL MARKETS INDEX
N,EQ,GROWWCHEM,GROWWAMC - GROWWCHEM,        30.00,        29.92,        30.25,        29.58,        30.01,                248512139.47,8369265,724,        31.74,        24.64,NIFTY CHEMICALS INDEX - TRI
N,EQ,GROWWDEFNC,GROWWAMC - GROWWDEFNC,        96.75,        98.69,        98.69,        95.09,        95.89,                 26929355.55,281797,3125,       102.07,        71.78,NIFTY INDIA DEFENCE INDEX- TOTAL RETURN INDEX
N,EQ,GROWWEV,GROWWAMC - GROWWEV,        33.17,        33.18,        33.18,        32.22,        32.60,                 18659794.60,574173,3009,        34.64,        26.20,NIFTY EV AND NEW AGE AUTOMOTIVE INDEX
N,EQ,GROWWGOLD,GROWWAMC - GROWWGOLD,        14.80,        14.68,        14.68,        14.48,        14.58,                 65094458.00,4454236,5422,       179.96,        12.71,COMMODITY
N,EQ,GROWWHOSPI,GROWWAMC - GROWWHOSPI,        52.21,        52.38,        52.38,        51.54,        51.85,                 11601845.24,223935,1757,        62.00,        43.35,BSE HOSPITALS INDEX
N,EQ,GROWWLIQID,GROWWAMC - GROWWLIQID,       110.58,       110.59,       110.60,       110.59,       110.59,                 54019983.23,488458,195,       112.71,       102.89,NIFTY 1D RATE INDEX
